d03,v05,d08,d9,d10,d11,d12,d13,d14,d16,D16_1,Q15_new,Q16_new,np
West Bank,City,Male,32,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,5,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,New
West Bank,village,Male,62,no,Preparatory,Farmer,Private and NGos,Married,2,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,City,Female,42,no,Associatte Diploma,Housewife,Unemployed,Married,5,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,Fateh,Old
West Bank,camp,Male,52,yes,Secondary,Employee,Public sector,Married,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,67,yes,Illiterate,Housewife,Unemployed,Single,1,Family income does not cover the expenses of our needs and we face great difficulties in covering,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,City,Male,18,no,Preparatory,Student,Unemployed,Single,5,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,63,no,BA\ BSc,Housewife,Unemployed,Married,4,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,camp,Female,39,yes,Secondary,Housewife,Unemployed,Single,9,The family income covers the expenses of our needs without facing any difficulties,Fateh,not decided,Old
West Bank,camp,Female,35,yes,Preparatory,Housewife,Unemployed,Married,2,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,not decided,Old
West Bank,City,Male,27,no,BA\ BSc,Employee,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
West Bank,village,Male,70,no,Elementary,unemployed,Unemployed,Married,4,The family income covers the expenses of our needs without facing any difficulties,Fateh,not decided,Old
West Bank,village,Female,52,yes,Elementary,Housewife,Unemployed,Other,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,village,Female,35,no,Associatte Diploma,Housewife,Unemployed,Single,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,Old
West Bank,camp,Male,67,yes,Secondary,unemployed,Unemployed,Married,3,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,not decided,Old
West Bank,camp,Female,37,yes,Preparatory,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,Old
West Bank,camp,Male,40,yes,Preparatory,Worker,Private and NGos,Married,5,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,City,Female,42,no,BA\ BSc,Housewife,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,City,Female,63,no,Preparatory,Housewife,Unemployed,Other,2,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,village,Male,19,no,Secondary,Student,Unemployed,Single,4,The family income covers our needs well and we can save,I did not participate in the elections,Fateh,New
West Bank,City,Female,35,no,Secondary,Housewife,Unemployed,Married,5,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,Fateh,Old
West Bank,village,Male,40,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,Old
West Bank,City,Male,21,no,Associatte Diploma,Employee,Private and NGos,Single,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,New
West Bank,City,Male,23,no,BA\ BSc,trader,Private and NGos,Single,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Others,New
West Bank,village,Male,59,no,Preparatory,Worker,Private and NGos,Married,3,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,City,Male,56,no,Secondary,trader,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
Gaza strip,camp,Male,44,yes,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Others,Others,Old
Gaza strip,City,Male,44,yes,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Others,Others,Old
Gaza strip,City,Male,24,yes,Preparatory,unemployed,Unemployed,Single,10,The family income covers our needs well and we can save,I did not participate in the elections,Others,New
West Bank,village,Female,28,no,BA\ BSc,Housewife,Unemployed,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,New
West Bank,village,Female,35,no,BA\ BSc,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,30,yes,Secondary,Housewife,Unemployed,Single,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,38,no,BA\ BSc,Housewife,Unemployed,Married,5,The family income covers our needs well and we can save,Fateh,Fateh,Old
West Bank,City,Female,18,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Single,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,23,yes,Associatte Diploma,unemployed,Unemployed,Single,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,70,yes,Preparatory,Housewife,Unemployed,Single,1,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,43,no,Preparatory,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,Fateh,not decided,Old
Gaza strip,City,Female,52,no,Elementary,Housewife,Unemployed, ,3,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,Fateh,Old
Gaza strip,City,Female,28,no,Preparatory,Housewife,Unemployed,Married,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Fateh,New
Gaza strip,City,Male,41,yes,BA\ BSc,Employee,Public sector,Married,5,Family income does not cover our expenses we face some difficulties in covering,Others,Others,Old
West Bank,village,Female,52,no,BA\ BSc,Housewife,Unemployed,Married,4,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
Gaza strip,City,Male,28,no,BA\ BSc,Employee,Public sector,Single,6,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,City,Male,32,yes,BA\ BSc,Worker,Private and NGos,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,camp,Male,42,yes,Secondary,trader,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Hamas,I will not participate in the elections,Old
Gaza strip,camp,Male,19,yes,Illiterate,Student,Unemployed,Single,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,City,Male,35,yes,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
Gaza strip,City,Male,48,yes,Secondary,trader,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,I will not participate in the elections,Old
Gaza strip,City,Female,42,no,Secondary,Housewife,Unemployed,Married,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,I will not participate in the elections,Old
Gaza strip,City,Female,28,no,BA\ BSc,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,City,Female,58,no,Secondary,Housewife,Unemployed,Married,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
Gaza strip,City,Female,31,no,BA\ BSc,Housewife,Unemployed, ,2,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,camp,Female,31,yes,BA\ BSc,Housewife,Unemployed,Married,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,City,Male,44,yes,Elementary,unemployed,Unemployed,Married,2,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
Gaza strip,City,Female,56,yes,Secondary,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
Gaza strip,City,Male,67,no,Associatte Diploma,unemployed,Unemployed,Married,4,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,I will not participate in the elections,Old
Gaza strip,City,Female,21,no,Secondary,unemployed,Unemployed,Single,9,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,City,Female,41,yes,Preparatory,Housewife,Unemployed,Married,8,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
Gaza strip,City,Female,26,no,Secondary,unemployed,Unemployed,Single,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,City,Male,19,yes,Secondary,Student,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,camp,Female,18,yes,Secondary,Student,Unemployed,Single,7,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,City,Male,25,no,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
Gaza strip,camp,Female,30,yes,Secondary,Housewife,Unemployed,Married,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,New
Gaza strip,City,Female,27,no,Associatte Diploma,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,New
Gaza strip,City,Female,25,yes,Secondary,Housewife,Unemployed,Married,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,New
Gaza strip,City,Female,24,yes,Associatte Diploma,Housewife,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
West Bank,village,Male,42,no,Preparatory,unemployed,Unemployed,Married,6,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Male,23,no,Preparatory,Worker,Private and NGos,Married,2,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,26,yes,Elementary,Housewife,Unemployed,Married,2,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Male,42,no,Master Degree and Above,Employee,Private and NGos,Married,7,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,village,Female,22,no,Associatte Diploma,Housewife,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,65,yes,BA\ BSc,retired,Public sector,Married,2,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Male,40,no,Preparatory,Worker,Private and NGos,Married,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Male,53,no,BA\ BSc,Employee,Public sector,Married,9,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,30,no,Secondary,Housewife,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,50,no,Secondary,trader,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,Hamas,I will not participate in the elections,Old
West Bank,village,Male,50,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,4,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,City,Female,31,no,BA\ BSc,Housewife,Unemployed,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,New
West Bank,City,Male,30,no,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,New
West Bank,City,Male,22,no,BA\ BSc,unemployed,Unemployed,Single,1,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Others,New
West Bank,City,Male,60,yes,Illiterate,Farmer,Private and NGos,Married,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,24,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,2,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,New
West Bank,City,Female,33,no,Secondary,Housewife,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,Fateh,I will not participate in the elections,Old
West Bank,village,Male,67,no,Preparatory,unemployed,Unemployed,Married,2,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,village,Female,65,yes,Associatte Diploma,Housewife,Unemployed,Other,1,The family income covers the expenses of our needs without facing any difficulties,Fateh,not decided,Old
West Bank,City,Male,25,no,BA\ BSc,Worker,Private and NGos,Single,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,New
West Bank,City,Male,20,no,Secondary,Worker,Private and NGos,Single,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,New
West Bank,City,Male,19,yes,Secondary,Worker,Private and NGos,Single,9,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Male,32,no,Secondary,Worker,Private and NGos,Married,3,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,New
West Bank,village,Female,42,no,Preparatory,Housewife,Unemployed,Married,7,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,City,Female,37,no,Secondary,Worker,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,not decided,Old
West Bank,village,Male,18,no,Secondary,Worker,Private and NGos,Single,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,New
West Bank,City,Male,30,no,Secondary,Worker,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,New
West Bank,City,Male,18,no,Secondary,Worker,Private and NGos,Single,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,26,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,37,no,BA\ BSc,Employee,Public sector,Married,6,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,39,no,Secondary,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,Old
West Bank,village,Female,66,no,BA\ BSc,Housewife,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,City,Male,18,yes,Preparatory,"Professional, craftsman, specialist",Private and NGos,Single,7,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,45,no,Elementary,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,village,Male,26,no,BA\ BSc,Worker,Private and NGos,Single,8,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
West Bank,City,Female,52,no,Secondary,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,camp,Male,53,yes,Secondary,Worker,Private and NGos,Married,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,camp,Female,44,yes,Illiterate,Housewife,Unemployed,Married,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,Old
West Bank,City,Female,62,no,Preparatory,Housewife,Unemployed,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,48,no,Elementary,Worker,Private and NGos,Married,10,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,City,Male,66,yes,Preparatory,Worker,Private and NGos,Married,4,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,City,Female,42,yes,Secondary,Housewife,Unemployed,Married,8,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,camp,Male,34,yes,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,30,no,BA\ BSc,Employee,Private and NGos,Single,9,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,48,no,Preparatory,"Professional, craftsman, specialist",Private and NGos,Married,9,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,76,yes,BA\ BSc,trader,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,Others,not decided,Old
West Bank,village,Female,38,no,Preparatory,Housewife,Unemployed,Married,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,City,Male,27,no,BA\ BSc,Employee,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
West Bank,City,Female,52,no,Associatte Diploma,trader,Private and NGos,Married,8,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,City,Female,27,yes,Secondary,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,62,yes,Preparatory,unemployed,Unemployed,Married,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,37,no,Preparatory,Housewife,Unemployed,Married,9,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,Old
West Bank,City,Male,25,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Single,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Male,72,no,Elementary,Farmer,Private and NGos,Married,3,Family income does not cover our expenses we face some difficulties in covering,Hamas,not decided,Old
West Bank,village,Female,22,no,Secondary,Housewife,Unemployed,Married,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Female,54,yes,Preparatory,Housewife,Unemployed,Married,3,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,City,Male,48,no,BA\ BSc,Employee,Private and NGos,Single,5,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,46,no,Secondary,Housewife,Unemployed,Married,10,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,39,no,Secondary,Housewife,Unemployed,Married,7,Family income does not cover our expenses we face some difficulties in covering,Fateh,not decided,Old
West Bank,camp,Female,39,no,Preparatory,Housewife,Unemployed,Married,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,Old
West Bank,City,Male,43,no,Secondary,Worker,Private and NGos,Married,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,City,Female,18,no,Secondary,Student,Unemployed,Single,8,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,49,no,Elementary,Housewife,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,City,Male,32,no,Secondary,trader,Private and NGos,Married,5,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,New
West Bank,camp,Male,47,yes,Secondary,Employee,Public sector,Married,3,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,I will not participate in the elections,Old
West Bank,village,Male,30,no,Secondary,Worker,Private and NGos,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
West Bank,City,Female,23,no,BA\ BSc,Employee,Private and NGos,Single,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,52,no,BA\ BSc,Employee,Public sector,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,Old
West Bank,City,Female,21,no,Secondary,Student,Unemployed,Single,8,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,New
West Bank,City,Male,40,no,Elementary,Worker,Private and NGos,Married,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
Gaza strip,City,Male,27,no,Associatte Diploma,unemployed,Unemployed,Married,2,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,camp,Male,38,yes,Preparatory,Worker,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,I will not participate in the elections,Old
Gaza strip,City,Male,37,yes,Associatte Diploma,Employee,Public sector,Married,6,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
Gaza strip,City,Male,34,no,Secondary,Worker,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,I will not participate in the elections,Old
Gaza strip,City,Female,31,yes,Associatte Diploma,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,City,Male,44,yes,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
Gaza strip,camp,Male,19,yes,Associatte Diploma,unemployed,Unemployed,Single,6,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
